Titles,Subtitle,Link,Data Headline
COME A CROPPER,Coronation Street legend spotted singing X-rated chant at Prem match,https://www.thesun.co.uk/sport/31185839/coronation-street-roy-cropper-x-rated-chant/, Coronation Street legend spotted singing X-rated chant at Prem match
WALK-ING OUT?,Walker eyed by Saudi moneybags and may line up with FOUR ex-Prem stars,https://www.thesun.co.uk/sport/31186604/kyle-walker-saudi-arabia-premier-league-ivan-toney/, Walker eyed by Saudi moneybags and may line up with FOUR ex-Prem stars
ARSENAL RATINGS,Saliba pays price for rare moment of panic but Calafiori contains Semenyo,https://www.thesun.co.uk/sport/31184656/arsenal-player-ratings-saliba-calafiori/, Saliba pays price for rare moment of panic but Calafiori contains Semenyo
STATE OF THE ART,Arteta does one of the most brutal acts in football vs Bournemouth,https://www.thesun.co.uk/sport/31185158/mikel-arteta-substitutes-jakub-kiwior-bournemouth-arsenal/, Arteta does one of the most brutal acts in football vs Bournemouth
HARRY REDKNAPP,Slot has made super start to life at Liverpool after Klopp by doing NOTHING,https://www.thesun.co.uk/sport/31188146/harry-redknapp-arne-slot-liverpool/, Slot has made super start to life at Liverpool after Klopp by doing NOTHING 
BLED DEVILS,Huge controversy as Man Utd concede when injured De Ligt is told to exit pitch,https://www.thesun.co.uk/sport/31182004/man-utd-de-ligt-goal-brentford/, Huge controversy as Man Utd concede when injured De Ligt is told to exit pitch
RED MIST,Inside Man Utd's touchline meltdown as De Ligt fumes after Brentford controversy,https://www.thesun.co.uk/sport/31182379/man-utd-de-ligt-van-nistelrooy-brentford/, Inside Man Utd's touchline meltdown as De Ligt fumes after Brentford controversy
X FILE,Jamie Carragher deletes tweet about Howard Webb after Arsenal star Saliba's red card,https://www.thesun.co.uk/sport/31184349/jamie-carragher-deletes-tweet-howard-webb-william-saliba/, Jamie Carragher deletes tweet about Howard Webb after Arsenal star Saliba's red card
MAN UTD RATINGS,Garnacho inspires comeback against Brentford but Casemiro struggles,https://www.thesun.co.uk/sport/31181706/man-utd-player-ratings-brentford-casemiro-garnacho/, Garnacho inspires comeback against Brentford but Casemiro struggles
DOUBLE,Win a VW Campervan and a Lamborghini Urus or £170k cash from 45p with our code,https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/, Win a VW Campervan and a Lamborghini Urus or £170k cash from 45p with our code
GET WEL SOON,Danny Welbeck stretchered off and left needing oxygen after back injury,https://www.thesun.co.uk/sport/31182600/danny-welbeck-oxygen-injury-newcastle-brighton/, Danny Welbeck stretchered off and left needing oxygen after back injury
SUPER SATURDAY,Bournemouth BEAT Arsenal after Saliba sent off as Man Utd beat Brentford,https://www.thesun.co.uk/sport/31128887/premier-league-live-scores-results-man-utd-arsenal-updates/, Bournemouth BEAT Arsenal after Saliba sent off as Man Utd beat Brentford
FULHAM 1 ASTON VILLA 3,Visitors win chaotic game with man sent off from both sides,https://www.thesun.co.uk/sport/31183331/fulham-aston-villa-match-report-watkins/, Visitors win chaotic game with man sent off from both sides
SOUTHAMPTON 2 LEICESTER 3,Ayew hits 99th-MINUTE winner to seal Foxes comeback from 2-0 down,https://www.thesun.co.uk/sport/31183146/southampton-2-3-leicester-martin-pressure-ayew-winner/, Ayew hits 99th-MINUTE winner to seal Foxes comeback from 2-0 down
GLORY,World Cup 2026 odds: England price revealed following Thomas Tuchel appointment,https://www.thesun.co.uk/sport/29239690/world-cup-2026-odds-england/, World Cup 2026 odds: England price revealed following Thomas Tuchel appointment
SPURS 4 WEST HAM 1,Spurs run riot in SEVEN-MINUTE blitz to pile pressure on Lopetegui,https://www.thesun.co.uk/sport/31180461/tottenham-west-ham-match-report/, Spurs run riot in SEVEN-MINUTE blitz to pile pressure on Lopetegui
IPSWICH 0 EVERTON 2,Fabio Wardley watches his team's defensive disasterclass as Toffees win,https://www.thesun.co.uk/sport/31183837/ipswich-everton-fabio-wardley-sean-dyche/, Fabio Wardley watches his team's defensive disasterclass as Toffees win
NEWCASTLE 0 BRIGHTON 1,Danny Welbeck scores winner before horror injury,https://www.thesun.co.uk/sport/31181942/newcastle-brighton-match-report-welbeck/, Danny Welbeck scores winner before horror injury
THOMAS' TANK OF CASH,New England boss Tuchel will get HUGE bonus if he wins World Cup,https://www.thesun.co.uk/sport/31183687/thomas-tuchel-world-cup-bonus/, New England boss Tuchel will get HUGE bonus if he wins World Cup
SCOT FREE,Sir Alex Ferguson looks in good spirits as he snubs Man Utd for another match,https://www.thesun.co.uk/sport/31181656/sir-alex-ferguson-he-snubs-man-utd-celtic-aberdeen/, Sir Alex Ferguson looks in good spirits as he snubs Man Utd for another match
AS ANDY AS EVER,Carroll fast becoming Bordeaux hero as he scores fifth goal in three games,https://www.thesun.co.uk/sport/31183493/andy-carroll-bordeaux-goal-avranches/, Carroll fast becoming Bordeaux hero as he scores fifth goal in three games
MOUN-TEN CLIMBER,Ten Hag in vow to Man Utd fans as he admits club 'have mountain to climb',https://www.thesun.co.uk/sport/31174932/erik-ten-hag-man-utd-manager-brentford/, Ten Hag in vow to Man Utd fans as he admits club 'have mountain to climb'
TOP DEALS,The best 10 online casino sites for welcome offers and free spins,https://www.thesun.co.uk/betting/30333826/top-10-casino-sites-free-spins-deposit-bonus/, The best 10 online casino sites for welcome offers and free spins
LEV-EL UP,How Levi Colwill became new-look Chelsea's key man and set up perfect goal,https://www.thesun.co.uk/sport/31149375/levi-colwill-chelsea-stats/, How Levi Colwill became new-look Chelsea's key man and set up perfect goal
LIKE FER LIKE,I went on TV to defend myself from Alex Ferguson - Ten Hag's copying his ploy,https://www.thesun.co.uk/sport/31177434/ten-hag-press-conference-ploy-alex-ferguson/, I went on TV to defend myself from Alex Ferguson - Ten Hag's copying his ploy
REST IN PEACE,Blackpool boss Steve Bruce's four-month old grandson tragically dies,https://www.thesun.co.uk/sport/31174454/steve-bruce-blackpool-grandson-alex-salford/, Blackpool boss Steve Bruce's four-month old grandson tragically dies
FAMILY MAN,Baldock told pals 'it's s*** I'm not there' for son's birthday before death,https://www.thesun.co.uk/sport/31177368/george-baldock-final-hours-son-birthday/, Baldock told pals 'it's s*** I'm not there' for son's birthday before death
ROLEY DOUBLE,"Win two Rolex watches or £19,000 cash alternative from from just 36p",https://www.thesun.co.uk/sport/18922011/win-watch-7dp/," Win two Rolex watches or £19,000 cash alternative from from just 36p"
YOU'RE WELCOME,talkSPORT BET bonus: Sign up and get £30 in free bets to spend on football,https://www.thesun.co.uk/sport/27779571/talksport-bet-welcome-bonus-register-free-offer-sign-up/, talkSPORT BET bonus: Sign up and get £30 in free bets to spend on football
TOTELY GREAT,Get £40 welcome bonus when you stake £10 on football with Tote,https://www.thesun.co.uk/sport/28173646/tote-welcome-bonus-free-bets-offer-promo-code/, Get £40 welcome bonus when you stake £10 on football with Tote
MEGA MGM,Welcome bonus: Get £40 in free bets when you stake £10 on football with BetMGM,https://www.thesun.co.uk/sport/28311103/betmgm-free-bets-football-bonus-offer/, Welcome bonus: Get £40 in free bets when you stake £10 on football with BetMGM
SPUR OF THE MOMENT,TNT Sports host Becky Ives leaps off Tottenham Stadium roof on live TV,https://www.thesun.co.uk/sport/31180070/tnt-sports-becky-ives-jumps-off-tottenham-stadium/, TNT Sports host Becky Ives leaps off Tottenham Stadium roof on live TV
HITTING THE BAR,Classy Anthony Gordon surprises Newcastle fans by putting money behind bar,https://www.thesun.co.uk/sport/31179950/anthony-gordon-newcastle-brighton-fans-pub/, Classy Anthony Gordon surprises Newcastle fans by putting money behind bar
REAL BLUNDER,Ex-Real Madrid ace gets baby name tattoo... then finds out he's not the dad,https://www.thesun.co.uk/sport/31159953/real-madrid-vinicius-tobias-baby-name-tattoo-dad/, Ex-Real Madrid ace gets baby name tattoo... then finds out he's not the dad
RAPH & READY,Varane lands new job alongside football royalty weeks after retiring,https://www.thesun.co.uk/sport/31178577/raphael-varane-new-job-como-man-utd-retirement/, Varane lands new job alongside football royalty weeks after retiring
MONEY TALKS,Ronaldo earns twice as much as Messi as top 10 richest footballers revealed,https://www.thesun.co.uk/sport/31160699/worlds-richest-footballers-ronaldo-earns-double-messi/, Ronaldo earns twice as much as Messi as top 10 richest footballers revealed
TOP GUN,Kai Havertz among most-ditched players this week - but is he actually injured?,https://www.thesun.co.uk/sport/football/dream-team/31080300/kai-havertz-transferred-out-injury-update-arsenal-fantasy/, Kai Havertz among most-ditched players this week - but is he actually injured?
TOP GUN,Bukayo Saka's evolution into creative juggernaut sets him apart from rivals,https://www.thesun.co.uk/sport/football/dream-team/30912365/bukayo-saka-assists-chances-created-fantasy-football-arsenal/, Bukayo Saka's evolution into creative juggernaut sets him apart from rivals
QUIDS IN,"7 ways to win with Dream Team this season - huge jackpot, weekly wins, and more!",https://www.thesun.co.uk/sport/football/dream-team/29884801/fantasy-football-prizes-score-predictor-last-man-standing/," 7 ways to win with Dream Team this season - huge jackpot, weekly wins, and more!"
TROY DEENEY,Tuchel getting England job was no betrayal - he gives us best World Cup chance,https://www.thesun.co.uk/sport/31170376/thomas-tuchel-england-world-cup-troy-deeney/, Tuchel getting England job was no betrayal - he gives us best World Cup chance
MANS DOWN,Rasmus Hojlund slammed as 'rubbish' by Foster for injuring team-mate in training,https://www.thesun.co.uk/sport/31180567/man-utd-rasmus-hojlund-ben-foster-hermansen-leicester/, Rasmus Hojlund slammed as 'rubbish' by Foster for injuring team-mate in training
WHO ARE YA,'John Terry tipped me to replace him at Chelsea but I only played 16 Prem mins',https://www.thesun.co.uk/sport/31165579/john-terry-chelsea-premier-league-jake-clarke-salter/, 'John Terry tipped me to replace him at Chelsea but I only played 16 Prem mins'
SCOTT IT ALL,"Bournemouth star Alex Scott, 21, is the 'Guernsey Grealish' loved by Guardiola",https://www.thesun.co.uk/sport/31178250/bournemouth-alex-scott-guernsey-grealish-guardiola/," Bournemouth star Alex Scott, 21, is the 'Guernsey Grealish' loved by Guardiola"
MAX PAIN,Germany star caught with sex worker reveals he's had piles for 10 years,https://www.thesun.co.uk/sport/31169690/max-kruse-football-big-brother-piles/, Germany star caught with sex worker reveals he's had piles for 10 years
CASE CLOSED,Best online casinos as rated by the real expert for UK players right NOW,https://www.thesun.co.uk/betting/20803800/best-online-casinos-uk/, Best online casinos as rated by the real expert for UK players right NOW
SPIN TO WIN,Join Sun Vegas and get a £30 live casino bonus plus 50 golden chips,https://www.thesun.co.uk/sun-bingo/25321231/welcome-offer-sun-live-roulette-table-bonus/, Join Sun Vegas and get a £30 live casino bonus plus 50 golden chips
IT'S PAY DAY!,Highest payout online casinos AND the fastest paying sites in UK revealed,https://www.thesun.co.uk/betting/22917511/highest-payout-casinos-uk/, Highest payout online casinos AND the fastest paying sites in UK revealed
STAGE FRIGHT,Inside Man Utd's horror transfer window with £172m of CURSED talent,https://www.thesun.co.uk/sport/31129904/man-utd-transfer-horror-injury-poor-form-mazraoui-ugarte/, Inside Man Utd's horror transfer window with £172m of CURSED talent 
NEXT GEN,Jurgen Klopp 'set to raid Barcelona for first two Red Bull signings',https://www.thesun.co.uk/sport/31127100/jurgen-klopp-liverpool-barcelona-transfers-red-bull/, Jurgen Klopp 'set to raid Barcelona for first two Red Bull signings'
GO GET HIM,"Arsenal tipped to sign former Man Utd star, 24, they could get on a free",https://www.thesun.co.uk/sport/31153843/arsenal-man-utd-angel-gomes-lee-dixon-england/," Arsenal tipped to sign former Man Utd star, 24, they could get on a free"
BIG MUNI SIGNINGS,Man Utd 'target Bayern Munich trio in stunning January transfer swoop',https://www.thesun.co.uk/sport/31078250/man-utd-bayern-munich-transfer-sane-davies-goretzka/, Man Utd 'target Bayern Munich trio in stunning January transfer swoop'
KROENKE TO SUCCESS,Arsenal fans demand signings as owner's net worth revealed,https://www.thesun.co.uk/sport/31142631/stan-kroenke-net-worth-arsenal-owner/, Arsenal fans demand signings as owner's net worth revealed
"BREN THERE, DONE THAT",Meaning behind Brennan Johnson's tattoos including message mum sends,https://www.thesun.co.uk/sport/31163984/brennan-johnson-tattoos-tottenham-wales/, Meaning behind Brennan Johnson's tattoos including message mum sends
NEW YEAR'S SOLUTIONS,Fergie reveals what he did every Jan 1 that sums up relentless drive,https://www.thesun.co.uk/sport/31156373/alex-ferguson-reveals-every-january-man-utd-titles/, Fergie reveals what he did every Jan 1 that sums up relentless drive
GONE MADD,'Enough is enough' - Maddison hauled off at half-time of Tottenham vs West Ham,https://www.thesun.co.uk/sport/31180197/james-maddison-tottenham-west-ham-postecoglou-enough/, 'Enough is enough' - Maddison hauled off at half-time of Tottenham vs West Ham
SACK ATTACK,Lord Sugar 'fires' Tottenham star during West Ham clash after shocking touch,https://www.thesun.co.uk/sport/31180795/lord-alan-sugar-tottenham-west-ham-timo-werner/, Lord Sugar 'fires' Tottenham star during West Ham clash after shocking touch
WILL I NEVER,Saliba earns his first ever red card after VAR controversy at Bournemouth,https://www.thesun.co.uk/sport/31183958/william-saliba-red-card-controversy-arsenal-bournemouth/, Saliba earns his first ever red card  after VAR controversy at Bournemouth
DAVE KIDD,Lee Carsley just doesn't sound like an England manager - the FA need a rethink,https://www.thesun.co.uk/sport/31055122/lee-carsley-england-manager-the-fa-greece/, Lee Carsley just doesn't sound like an England manager - the FA need a rethink
KARREN BRADY,Prem is envy of football... Man City's rivals must fight to save it THIS WEEK,https://www.thesun.co.uk/sport/31032684/man-city-karren-brady-prem-rivals-must-fight/, Prem is envy of football... Man City's rivals must fight to save it THIS WEEK
ANDY DILLON,Maresca's doing the unthinkable at Chelsea by introducing common sense,https://www.thesun.co.uk/sport/31006760/enzo-maresca-chelsea-mudryk-man-city/, Maresca's doing the unthinkable at Chelsea by introducing common sense
