Titles,Subtitle,Link,Data Headline
MAN UTD RATINGS,Casemiro shines with stunner on Van Nistelrooy bow but Zirkzee struggles,https://www.thesun.co.uk/sport/31413183/man-utd-player-ratings-casemiro-ruud-van-nistelrooy-zirkzee/, Casemiro shines with stunner on Van Nistelrooy bow but Zirkzee struggles
CAR BLIMEY!,Carabao Cup quarter-final draw sees Man Utd handed horror tie,https://www.thesun.co.uk/sport/31417453/carabao-cup-draw-man-utd-arsenal-liverpool-tottenham/, Carabao Cup quarter-final draw sees Man Utd handed horror tie
TOTTENHAM 2 MAN CITY 1,Spurs reach Cup quarters as they eye first trophy in 17 years,https://www.thesun.co.uk/sport/31416284/tottenham-2-man-city-1-report/, Spurs reach Cup quarters as they eye first trophy in 17 years
PRESTON 0 ARSENAL 3,Gunners storm into Carabao Cup quarters as they avoid giant-killing,https://www.thesun.co.uk/sport/31416778/preston-0-arsenal-3-gunners-carabao-cup-quarters/, Gunners storm into Carabao Cup quarters as they avoid giant-killing
ARSENAL RATINGS,Nwaneri sparkles but debutant Setford barely gets a sniff,https://www.thesun.co.uk/sport/31415394/arsenal-ratings-ethan-nwaneri-carabao-cup-setford/, Nwaneri sparkles but debutant Setford barely gets a sniff
NEWCASTLE 2 CHELSEA 0,Blues dumped out of Carabao Cup in shocking display as Toon march on,https://www.thesun.co.uk/sport/31416759/chelsea-newcastle-match-report-result-carabao-cup/, Blues dumped out of Carabao Cup in shocking display as Toon march on
CHELSEA RATINGS,Mudryk best of bad Blues bunch but Badiashile endures nightmare,https://www.thesun.co.uk/sport/31415504/chelsea-player-ratings-mudryk-badiashile-newcastle/, Mudryk best of bad Blues bunch but Badiashile endures nightmare
VILLA 1 PALACE 2,European leaders out of Carabao Cup as struggling Eagles reach quarters,https://www.thesun.co.uk/sport/31416951/aston-villa-1-crystal-palace-2-carabao-cup/, European leaders out of Carabao Cup as struggling Eagles reach quarters
FER REAL?,Fans can't believe legend Fergie sat next to for Man Utd's Carabao Cup win,https://www.thesun.co.uk/sport/31418141/sir-alex-ferguson-sat-man-utd-michael-vaughan/, Fans can't believe legend Fergie sat next to for Man Utd's Carabao Cup win
CARABAO CUP DRAW,"Spurs facing Man Utd in huge clash, Arsenal drawn against Crystal Palace",https://www.thesun.co.uk/sport/31372828/carabao-cup-quarter-final-draw-live-free-stream/," Spurs facing Man Utd in huge clash, Arsenal drawn against Crystal Palace"
CARABAO CUP,"Spurs STUN City with 2-1 win, Liverpool beat Brighton, Palace shock Villa",https://www.thesun.co.uk/sport/31400253/tottenham-man-city-live-score-brighton-liverpool-villa-palace/," Spurs STUN City with 2-1 win, Liverpool beat Brighton, Palace shock Villa"
BRIGHTON 2 LIVERPOOL 3,Gakpo's pair of rockets see Reds cling on for Carabao quarters spot,https://www.thesun.co.uk/sport/31416559/liverpool-brighton-match-report-result/, Gakpo's pair of rockets see Reds cling on for Carabao quarters spot
SKY FALL,Sky Sports slammed as 'complete joke' as error leaves fans with blank screens,https://www.thesun.co.uk/sport/31415760/sky-sports-slammed-complete-joke-technical-error/, Sky Sports slammed as 'complete joke' as error leaves fans with blank screens
I NEED A MIRO,"'No words', say fans as Casemiro gets Van Nistelrooy era off to flyer",https://www.thesun.co.uk/sport/31415494/casemiro-goal-van-nistelrooy-man-utd/," 'No words', say fans as Casemiro gets Van Nistelrooy era off to flyer"
HOLD ON A MINUTE,Rashford hailed for 'powering through like a champ' after shock tackle,https://www.thesun.co.uk/sport/31382394/marcus-rashford-manchester-united-leicester-carabao-cup/, Rashford hailed for 'powering through like a champ' after shock tackle
TOP DEALS,The best 10 online casino sites for welcome offers and free spins,https://www.thesun.co.uk/betting/30333826/top-10-casino-sites-free-spins-deposit-bonus/, The best 10 online casino sites for welcome offers and free spins
DEAD CERT,Amorim is ‘Mourinho 2.0’ who turned Sporting from ‘walking dead’ into champions,https://www.thesun.co.uk/sport/31389293/ruben-amorim-mourinho-sporting-man-utd/, Amorim is ‘Mourinho 2.0’ who turned Sporting from ‘walking dead’ into champions
UN-TEN-ABLE,'Erik ten Hag responsible for two of the worst transfers in Man Utd history',https://www.thesun.co.uk/sport/31413541/ten-hag-worst-transfers-man-utd-neville-antony-casemiro/, 'Erik ten Hag responsible for two of the worst transfers in Man Utd history'
SCHOLDED,Scholes urges Amorim to delay Man Utd arrival for four weeks for bizarre reason,https://www.thesun.co.uk/sport/31402752/paul-scholes-ruben-amorim-delay-man-utd/, Scholes urges Amorim to delay Man Utd arrival for four weeks for bizarre reason
RED ALERT,'Amorim feels like Ten Hag all over again - Man Utd missed out on perfect coach',https://www.thesun.co.uk/sport/31395726/paul-scholes-ruben-amorim-thomas-tuchel-man-utd/, 'Amorim feels like Ten Hag all over again - Man Utd missed out on perfect coach'
AMORIM LATEST,Red Devils close in on Sporting manager with appointment 'imminent',https://www.thesun.co.uk/sport/31367598/ruben-amorim-man-utd-manager-live-announcement-updates/, Red Devils close in on Sporting manager with appointment 'imminent'
YET MOR WORK,Five things for Amorim to do at Man Utd including getting best out of £51m man,https://www.thesun.co.uk/sport/31371778/five-things-ruben-amorim-must-do-man-utd-manager/, Five things for Amorim to do at Man Utd including getting best out of £51m man
RUB YOUR EYES,Sporting fan bursts into tears live on TV after question about Amorim leaving,https://www.thesun.co.uk/sport/31390834/sporting-fan-ruben-amorim-man-utd/, Sporting fan bursts into tears live on TV after question about Amorim leaving
RUUD HEALTH,"'I write this with huge mix of emotions,' says Van Nistelrooy in first message",https://www.thesun.co.uk/sport/31406732/ruud-van-nistelrooy-ten-hag-man-utd-interim/," 'I write this with huge mix of emotions,' says Van Nistelrooy in first message"
DRESSING DOWN,How Ten Hag humiliated Ronaldo before exit with brutal dressing room stunt,https://www.thesun.co.uk/sport/31391686/man-utd-ten-hag-cristiano-ronaldo-dressing-room-ban/, How Ten Hag humiliated Ronaldo before exit with brutal dressing room stunt
MOR CHANGE,How Man Utd could line up under Ruben Amorim with ex-star and top Arsenal target,https://www.thesun.co.uk/sport/31371331/man-utd-ruben-amorim-line-up-transfer-arsenal/, How Man Utd could line up under Ruben Amorim with ex-star and top Arsenal target
FOUR REAL?,'Unrealistic' Ten Hag urged Utd to sign 4 stars including Liverpool ace & Kane,https://www.thesun.co.uk/sport/31388803/erik-ten-hag-man-utd-four-stars-harry-kane/, 'Unrealistic' Ten Hag urged Utd to sign 4 stars including Liverpool ace & Kane
RU BEAUTY,"'I like Amorim as a person and manager,' says Mourinho amid Man Utd boss links",https://www.thesun.co.uk/sport/31386205/jose-mourinho-ruben-amorim-man-utd/," 'I like Amorim as a person and manager,' says Mourinho amid Man Utd boss links"
TALK OF THE DEVILS,'Ten Prem managers could have done a better job than Ten Hag at Man Utd',https://www.thesun.co.uk/sport/31410300/ten-hag-sacked-replacement-man-utd-sheringham/, 'Ten Prem managers could have done a better job than Ten Hag at Man Utd'
TREND IT LIKE BECKHAM,Inside mad world of Inter Miami that's changing football forever,https://www.thesun.co.uk/sport/31400516/inter-miami-david-beckham-lionel-messi/, Inside mad world of Inter Miami that's changing football forever
UPPING THE ANT-E,Man Utd 'transfer list Antony as Ratcliffe & Co refuse to wait for Amorim',https://www.thesun.co.uk/sport/31390165/man-utd-transfer-antony-ten-hag-amorim/, Man Utd 'transfer list Antony as Ratcliffe & Co refuse to wait for Amorim'
SCORING GOALS,‘I’m bedding a player from every Prem club.. I already have a hat trick',https://www.thesun.co.uk/sport/31404394/elsa-thora-sleeping-with-premier-league-players/, ‘I’m bedding a player from every Prem club.. I already have a hat trick'
WREX APPEAL,Wrexham announce MASSIVE financial boost as family worth £1.6bn invest in club,https://www.thesun.co.uk/sport/31413458/wrexham-ryan-reynolds-rob-mcelhenney-financial-boost-family-invest/, Wrexham announce MASSIVE financial boost as family worth £1.6bn invest in club
CAMPER,"Win a VW Campervan plus £10k or £50,000 cash from just 22p with our discount",https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/," Win a VW Campervan plus £10k or £50,000 cash from just 22p with our discount"
GONE SOUTH,"Inside National League club's abandoned 17,000-seater 'hotel-stadium' plans",https://www.thesun.co.uk/sport/31390622/southend-abandoned-stadium-fossetts-farm/," Inside National League club's abandoned 17,000-seater 'hotel-stadium' plans"
DAV THAT,Fans joke 'thought it was Bobby Davro' as Declan Rice poses with Arsenal legend,https://www.thesun.co.uk/sport/31414495/fans-joke-bobby-davro-declan-rice-picture-arsenal/, Fans joke 'thought it was Bobby Davro' as Declan Rice poses with Arsenal legend
FAMILY GOALS,England legend's two sons both play for Man City as eldest scores screamer,https://www.thesun.co.uk/sport/31405052/man-city-emile-heskey-jaden-reigan-brother/, England legend's two sons both play for Man City as eldest scores screamer
NOT AS IT SEEMS,'My Prem team-mate was catfishing fans... I can't believe they fell for it',https://www.thesun.co.uk/sport/31414068/peter-crouch-stoke-catfishing-fans/, 'My Prem team-mate was catfishing fans... I can't believe they fell for it'
MOUR TO COME,Jose jokes he could manage Championship side 'across the bridge from my house',https://www.thesun.co.uk/sport/31392658/jose-mourinho-millwall-manager-chelsea-man-utd-tottenham/, Jose jokes he could manage Championship side 'across the bridge from my house'
YOU'RE WELCOME,talkSPORT BET bonus: Sign up and get £30 in free bets to spend on football,https://www.thesun.co.uk/sport/27779571/talksport-bet-welcome-bonus-register-free-offer-sign-up/, talkSPORT BET bonus: Sign up and get £30 in free bets to spend on football
TOTELY GREAT,Get £40 welcome bonus when you stake £10 on football with Tote,https://www.thesun.co.uk/sport/28173646/tote-welcome-bonus-free-bets-offer-promo-code/, Get £40 welcome bonus when you stake £10 on football with Tote
